"ID","Título","ISBN","autor","ilustrador","Fecha publicacion"
"00b693be-7faf-442c-8097-5e0157504e80","¿Qué es? ¿Dónde está?  Nakatsuka","ISBN 978-987-47041-1-5","[""19717415-339b-4e3b-8842-49dca1778e21""]","19717415-339b-4e3b-8842-49dca1778e21","2018-08-01"
"05d39169-b80e-4764-904e-93298bdd7b7b","¿Qué es? ¿Dónde está? Oriato","ISBN 978-987-33-9789-9","[""00000000-0000-0000-0000-000000000001""]","00000000-0000-0000-0000-000000000001","2016-08-15"
"0977daaf-ec80-41eb-aaf8-6cd36618577d","Los Tunos, los Tarkos y los Tercos","ISBN 978-987-47651-1-6 ","[""55dfb44a-46d3-4222-afe8-a1f764b80226""]","e5172b45-a647-4c3d-9f94-2ae0b3eedf95","2020-09-15"
"145664a3-7141-4311-bdf8-69e43c5ae656","Platillos volantes","ISBN 978-987-47041-5-3","[""00000000-0000-0000-0000-000000000004""]","e2f6b397-537b-4643-ba5a-c13bf5c2a442","2019-08-01"
"15224780-842d-45b1-9f0b-6d8a12af8f63","Niño Escafandra","ISBN 978-987-48646-0-4 ",[],,"2022-07-01"
"21c491e5-6691-4182-83e6-e9a157f86101","Cuentos rayados","ISBN 978-987-4765109","[""70cdb0c5-e66a-4c07-9ead-bfaeaa1965c4""]","1557c239-f21e-4589-be4f-3c024928197d","2021-05-15"
"298e070b-93aa-41a5-a1aa-23f9f107d497","¿Qué es? ¿Dónde está? Zeta","ISBN 978-987-42-4511-3","[""ec0058c4-b1e1-41ac-8e66-f55120ea69db""]","ec0058c4-b1e1-41ac-8e66-f55120ea69db","2017-02-15"
"2bafae5b-4dda-4341-999b-daf8862c2f90","Jotolepo Frukachú - La evidencia extraterrestre","ISBN 978-987-47981-7-6","[""83d8b04f-e3ef-4020-8031-2c7aee2f2d36""]","d0020639-55dd-4e18-b01f-c6c38e10ff16","2021-10-01"
"2dbebc9d-30e3-44e6-9e78-bf298810df95","El Señor López","ISBN 978987-4798107","[""1a608685-b8fd-4a91-8f90-5fe677eb54a8"",""486b8d6a-a13e-4fd5-a67e-8f7d22b2ec62""]","2bfe6fc2-c7e6-46f5-ab90-2dac8e5373b0","2021-04-01"
"2fbbe8f8-7a6d-4790-84cf-b3f452959e8e","Gerarda, la mutante","ISBN 978-987-47041-4-6","[""d8df609b-5afa-4849-be66-dba6517825cc""]","b24a383f-9e0a-4277-b358-eab94ea4eb80","2019-06-15"
